breeder_pair,litter_date,litter_size
190,9/26/2021,9
190,12/4/2021,2
190,2/3/2022,10
190,3/1/2022,2
191,6/23/2023,3
195,3/21/2022,5
195,5/20/2022,3
195,6/13/2022,2
196,4/17/2020,6
196,6/10/2020,5
196,7/25/2020,5
196,9/8/2020,7
198,3/11/2022,9
198,4/5/2022,4
198,4/27/2022,8
198,5/21/2022,8
198,6/10/2022,0
198,7/2/2022,10
198,7/27/2022,0
199,5/4/2020,2
199,5/26/2020,6
199,7/23/2020,4
199,9/2/2020,5
200,7/13/2022,9
200,8/29/2022,8
200,9/26/2022,0
201,8/15/2020,8
201,9/9/2020,0
201,10/22/2020,13
201,11/19/2020,8
201,2/13/2021,0
201,3/7/2021,6
202,10/1/2022,9
202,11/27/2022,8
202,2/14/2023,8
203,9/30/2020,4
203,10/23/2020,8
203,12/4/2020,9
203,1/14/2021,12
203,2/8/2021,0
203,3/12/2021,10
204,9/21/2022,0
204,10/13/2022,10
204,12/13/2022,8
204,1/30/2023,10
204,2/23/2023,0
205,4/3/2021,8
205,5/25/2021,4
205,7/14/2021,6
205,9/2/2021,5
206,2/20/2023,10
206,4/11/2023,3
206,6/6/2023,4
207,3/29/2021,9
207,6/2/2021,8
207,8/12/2021,6
208,2/28/2023,5
208,3/22/2023,0
208,5/29/2023,5
210,6/13/2021,0
210,7/25/2021,9
210,8/18/2021,0
211,6/1/2021,2
211,7/16/2021,4
212,1/14/2020,0
213,1/6/2020,0
213,1/27/2020,7
213,2/23/2020,0
213,3/19/2020,5
213,4/28/2020,5
214,1/24/2020,3
214,2/19/2020,4
214,3/26/2020,6
214,4/22/2020,3
214,5/15/2020,2
214,6/26/2020,4
214,8/16/2020,3
214,8/31/2020,4
215,8/25/2020,7
215,9/18/2020,2
215,10/13/2020,4
215,11/27/2020,8
215,12/22/2020,5
215,2/2/2021,9
215,2/27/2021,5
215,3/23/2021,5
216,9/21/2020,0
216,10/21/2020,8
216,12/4/2020,5
216,12/28/2020,0
216,2/5/2021,6
216,3/30/2021,7
217,7/5/2021,7
217,7/29/2021,5
217,8/20/2021,5
217,9/13/2021,6
217,10/4/2021,0
217,10/31/2021,12
218,5/9/2023,2
219,6/9/2021,8
219,7/4/2021,5
219,8/9/2021,8
219,9/17/2021,8
219,10/10/2021,0
219,10/30/2021,4
220,4/26/2023,7
220,5/22/2023,1
220,6/22/2023,9
220,7/15/2023,6
221,12/12/2021,6
221,1/3/2022,4
221,1/25/2022,3
221,2/15/2022,8
221,3/11/2022,6
221,4/3/2022,4
221,4/25/2022,3
222,9/19/2023,4
222,10/10/2023,0
222,11/27/2023,3
222,12/18/2023,3
223,10/18/2021,6
223,11/15/2021,2
223,12/9/2021,7
223,1/4/2022,9
224,12/10/2021,6
224,1/16/2022,5
224,2/9/2022,3
224,3/2/2022,6
224,3/26/2022,2
224,5/1/2022,9
225,9/19/2023,8
225,11/3/2023,5
226,5/22/2022,0
226,6/10/2022,5
226,7/5/2022,0
226,7/26/2022,7
226,8/20/2022,7
226,9/14/2022,0
226,10/4/2022,6
227,5/17/2022,5
227,6/8/2022,4
227,7/27/2022,6
227,8/20/2022,0
227,9/16/2022,8
227,10/9/2022,0
227,11/5/2022,5
228,11/23/2022,7
228,12/22/2022,5
228,1/13/2023,8
228,2/8/2023,8
228,3/6/2023,9
228,3/30/2023,0
228,4/28/2023,5
229,12/8/2022,0
229,12/30/2022,2
229,1/20/2023,2
229,3/5/2023,4
229,3/27/2023,0
229,4/18/2023,1
230,1/24/2020,7
230,2/14/2020,4
230,3/28/2020,7
230,4/20/2020,0
230,5/17/2020,5
230,6/11/2020,0
231,12/16/2020,7
231,1/18/2021,3
231,2/17/2021,7
232,1/14/2020,4
232,2/4/2020,5
232,3/20/2020,3
232,4/10/2020,4
232,5/1/2020,1
232,5/22/2020,8
232,7/1/2020,8
233,12/26/2020,7
233,2/8/2021,6
233,3/24/2021,5
234,7/3/2020,10
234,7/27/2020,8
234,8/20/2020,7
234,10/26/2020,8
234,11/16/2020,0
234,12/31/2020,6
235,7/4/2020,11
235,7/30/2020,4
235,8/23/2020,8
235,9/29/2020,6
235,10/23/2020,7
235,11/13/2020,6
235,12/6/2020,6
235,12/29/2020,6
236,8/10/2021,0
236,9/2/2021,1
236,9/22/2021,3
237,5/1/2023,2
238,11/2/2020,4
238,11/26/2020,4
238,12/25/2020,4
238,2/13/2021,4
238,4/5/2021,5
240,2/20/2023,5
240,3/17/2023,5
240,4/10/2023,0
240,6/16/2023,5
241,1/8/2020,6
241,1/29/2020,0
241,2/19/2020,0
241,3/11/2020,4
242,3/15/2021,6
242,4/9/2021,6
243,10/8/2021,2
243,10/29/2021,4
243,12/9/2021,4
244,5/12/2023,5
244,6/29/2023,2
245,1/20/2020,2
245,3/3/2020,0
246,4/29/2021,0
246,5/20/2021,6
246,6/14/2021,0
246,7/6/2021,5
246,9/6/2021,0
247,1/25/2022,4
247,3/12/2022,6
248,3/29/2022,6
248,4/24/2022,5
248,6/3/2022,4
248,6/28/2022,0
248,8/4/2022,5
249,6/4/2022,6
249,8/9/2022,8
249,9/19/2022,3
250,7/4/2022,0
250,7/25/2022,5
250,9/4/2022,8
251,9/10/2022,4
251,10/26/2022,4
252,10/26/2022,0
253,5/21/2021,9
254,5/4/2021,6
254,5/29/2021,8
254,6/22/2021,3
254,8/30/2021,9
254,10/16/2021,1
254,12/9/2021,4
255,7/13/2023,2
255,8/5/2023,6
255,8/29/2023,0
255,10/18/2023,6
255,12/1/2023,4
255,12/25/2023,5
256,5/2/2021,6
256,5/24/2021,0
256,6/18/2021,6
256,7/30/2021,6
256,9/30/2021,9
256,10/22/2021,0
256,11/13/2021,6
256,12/6/2021,0
256,12/27/2021,6
257,7/10/2023,0
257,8/12/2023,6
257,10/12/2023,9
257,12/17/2023,4
260,1/19/2022,0
260,3/1/2022,3
260,3/23/2022,0
260,5/4/2022,0
260,6/6/2022,0
260,6/27/2022,4
260,7/19/2022,0
261,3/10/2022,3
261,4/1/2022,5
261,4/25/2022,0
261,5/19/2022,7
261,6/28/2022,6
261,7/23/2022,0
262,7/19/2022,4
262,8/10/2022,3
262,8/31/2022,2
262,9/21/2022,0
262,11/2/2022,4
262,11/25/2022,6
262,12/19/2022,4
262,1/10/2023,3
263,7/19/2022,0
263,8/13/2022,6
263,9/7/2022,0
263,9/28/2022,6
263,10/20/2022,0
263,11/10/2022,5
263,12/5/2022,0
263,1/6/2023,4
264,1/27/2023,2
264,2/17/2023,0
264,3/10/2023,5
264,4/19/2023,2
264,5/10/2023,0
265,1/31/2023,3
265,2/21/2023,0
265,3/13/2023,7
265,4/4/2023,3
265,5/19/2023,6
265,7/3/2023,9
266,4/29/2021,4
266,5/21/2021,4
267,2/4/2021,0
267,3/19/2021,3
267,4/11/2021,9
268,3/16/2022,7
268,4/7/2022,9
268,4/27/2022,10
268,5/18/2022,7
269,4/11/2022,6
269,5/1/2022,12
269,5/25/2022,9
269,6/17/2022,9
269,7/10/2022,9
269,8/3/2022,6
269,8/26/2022,7
269,9/18/2022,8
270,7/27/2022,9
270,8/19/2022,11
270,9/10/2022,10
270,10/6/2022,11
270,10/29/2022,6
270,11/22/2022,8
271,12/3/2022,3
272,11/3/2022,7
273,11/3/2021,7
273,11/25/2021,9
274,11/5/2021,8
274,11/26/2021,11
275,1/6/2022,7
275,2/9/2022,12
275,3/3/2022,5
276,1/5/2022,10
276,1/28/2022,9
276,2/18/2022,3
276,3/11/2022,8
276,4/1/2022,9
276,4/23/2022,9
277,1/29/2022,8
277,3/15/2022,11
277,4/23/2022,10
278,1/1/2020,3
278,1/22/2020,0
278,2/12/2020,3
278,3/6/2020,0
278,3/30/2020,2
278,6/10/2020,2
278,7/26/2020,1
279,10/6/2021,6
279,11/25/2021,5
279,12/20/2021,8
279,2/5/2022,6
280,10/8/2021,0
280,10/28/2021,9
280,12/17/2021,8
280,1/9/2022,6
281,2/11/2022,1
281,3/4/2022,5
281,4/16/2022,7
281,5/28/2022,10
281,6/20/2022,6
281,8/6/2022,6
282,2/10/2022,0
282,3/13/2022,5
282,4/4/2022,0
282,4/26/2022,0
282,5/17/2022,4
282,6/8/2022,3
282,7/22/2022,7
283,7/26/2022,7
283,8/16/2022,0
283,9/22/2022,9
284,8/12/2022,7
284,9/30/2022,8
284,11/16/2022,6
284,12/9/2022,0
284,12/31/2022,3
285,12/8/2022,0
285,1/2/2023,3
285,1/23/2023,0
285,2/22/2023,6
285,3/17/2023,0
285,4/7/2023,8
286,12/8/2022,3
286,1/13/2023,8
287,11/5/2021,8
287,11/26/2021,8
288,9/19/2023,4
288,10/10/2023,4
288,10/31/2023,0
288,12/4/2023,12
290,11/2/2021,10
290,11/24/2021,2
290,12/16/2021,10
292,9/19/2023,5
292,10/10/2023,0
292,11/21/2023,7
292,12/12/2023,6
293,1/6/2022,7
293,1/30/2022,10
293,2/25/2022,7
293,3/21/2022,10
293,4/14/2022,7
293,5/9/2022,12
293,6/5/2022,9
294,1/26/2022,11
294,2/21/2022,11
294,3/14/2022,9
294,4/5/2022,11
294,5/19/2022,11
294,6/10/2022,10
295,7/30/2022,11
295,8/21/2022,12
295,9/13/2022,0
295,10/7/2022,12
295,10/29/2022,11
295,11/19/2022,13
295,12/10/2022,11
295,1/1/2023,13
295,1/23/2023,9
296,7/23/2022,4
296,8/14/2022,9
296,9/6/2022,0
296,9/26/2022,4
296,10/17/2022,0
296,11/7/2022,11
296,11/29/2022,13
296,12/22/2022,11
296,1/13/2023,10
296,2/4/2023,10
297,3/13/2023,11
297,4/4/2023,7
297,4/26/2023,9
297,5/19/2023,9
297,6/9/2023,0
297,6/28/2023,8
297,7/21/2023,8
298,3/14/2023,8
298,4/4/2023,0
298,4/24/2023,5
298,5/15/2023,3
298,6/5/2023,0
298,6/24/2023,8
299,2/11/2020,8
299,3/28/2020,10
300,2/16/2020,3
300,3/8/2020,0
300,3/30/2020,10
300,4/22/2020,0
300,5/13/2020,3
300,6/9/2020,6
300,7/1/2020,0
300,7/23/2020,3
300,9/14/2020,4
301,9/12/2020,5
301,10/5/2020,4
301,12/2/2020,3
302,12/3/2023,6
303,12/13/2023,6
